template_name,support_type,support_orientation_id,g3_orientation_id,pattern_nx,pattern_ny,layers,support_count,g3_count,length,width,height,weight,support_length,support_width,support_height,g3_length,g3_width,g3_height,volume_bbox,score,source_kind
MPV2_base_G2_2x2_L4_S1_G32_K2_UP7,G2,1,2,2,2,7,28,2,100,70,215,254,50,35,25,50,70,40,1505000,0.921308,lifted
MPV2_base_G2_2x2_L4_S3_G31_K2_UP7,G2,3,1,2,2,7,28,2,70,100,215,254,35,50,25,70,50,40,1505000,0.921308,lifted
MPV2_ext_G2_2x3_L4_S2_G32_K2_UP5,G2,2,2,2,3,5,30,2,100,75,215,270,50,25,35,50,70,40,1612500,0.896935,lifted
MPV2_ext_G2_3x2_L4_S2_G31_K2_UP5,G2,2,1,3,2,5,30,2,150,50,215,270,50,25,35,70,50,40,1612500,0.896935,lifted
MPV2_ext_G2_2x3_L4_S5_G32_K2_UP5,G2,5,2,2,3,5,30,2,50,150,215,270,25,50,35,50,70,40,1612500,0.896935,lifted
MPV2_ext_G2_3x2_L4_S5_G31_K2_UP5,G2,5,1,3,2,5,30,2,75,100,215,270,25,50,35,70,50,40,1612500,0.896935,lifted
MPV2_base_G2_2x2_L4_S1_G32_K2_UP6,G2,1,2,2,2,6,24,2,100,70,190,222,50,35,25,50,70,40,1330000,0.887493,lifted
MPV2_base_G2_2x2_L4_S3_G31_K2_UP6,G2,3,1,2,2,6,24,2,70,100,190,222,35,50,25,70,50,40,1330000,0.887493,lifted
MPV2_base_G2_2x2_L4_S1_G32_K2_UP5,G2,1,2,2,2,5,20,2,100,70,165,190,50,35,25,50,70,40,1155000,0.853677,lifted
MPV2_base_G2_2x2_L4_S3_G31_K2_UP5,G2,3,1,2,2,5,20,2,70,100,165,190,35,50,25,70,50,40,1155000,0.853677,lifted
MPV2_ext_G2_2x3_L3_S2_G32_K2_UP4,G2,2,2,2,3,4,24,2,100,75,180,222,50,25,35,50,70,40,1350000,0.849668,lifted
MPV2_ext_G2_3x2_L3_S2_G31_K2_UP4,G2,2,1,3,2,4,24,2,150,50,180,222,50,25,35,70,50,40,1350000,0.849668,lifted
MPV2_ext_G2_2x3_L3_S5_G32_K2_UP4,G2,5,2,2,3,4,24,2,50,150,180,222,25,50,35,50,70,40,1350000,0.849668,lifted
MPV2_ext_G2_3x2_L3_S5_G31_K2_UP4,G2,5,1,3,2,4,24,2,75,100,180,222,25,50,35,70,50,40,1350000,0.849668,lifted
MPV2_base_G2_1x2_L4_S1_G32_K1_UP7,G2,1,2,1,2,7,14,1,50,70,215,127,50,35,25,50,70,40,752500,0.844272,lifted
MPV2_base_G2_2x1_L4_S3_G31_K1_UP7,G2,3,1,2,1,7,14,1,70,50,215,127,35,50,25,70,50,40,752500,0.844272,lifted
MPV2_ext_G2_1x3_L4_S2_G32_K1_UP5,G2,2,2,1,3,5,15,1,50,75,215,135,50,25,35,50,70,40,806250,0.820085,lifted
MPV2_ext_G2_3x1_L4_S5_G31_K1_UP5,G2,5,1,3,1,5,15,1,75,50,215,135,25,50,35,70,50,40,806250,0.820085,lifted
MPV2_ext_G2_2x3_L3_S2_G32_K2,G2,2,2,2,3,3,18,2,100,75,145,174,50,25,35,50,70,40,1087500,0.782401,ext
MPV2_ext_G2_3x2_L3_S2_G31_K2,G2,2,1,3,2,3,18,2,150,50,145,174,50,25,35,70,50,40,1087500,0.782401,ext
MPV2_ext_G2_2x3_L3_S5_G32_K2,G2,5,2,2,3,3,18,2,50,150,145,174,25,50,35,50,70,40,1087500,0.782401,ext
MPV2_ext_G2_3x2_L3_S5_G31_K2,G2,5,1,3,2,3,18,2,75,100,145,174,25,50,35,70,50,40,1087500,0.782401,ext
MPV2_base_G2_2x2_L4_S1_G32_K2,G2,1,2,2,2,4,16,2,100,70,140,158,50,35,25,50,70,40,980000,0.769862,base
MPV2_base_G2_2x2_L4_S3_G31_K2,G2,3,1,2,2,4,16,2,70,100,140,158,35,50,25,70,50,40,980000,0.769862,base
MPV2_base_G2_2x2_L3_S4_G31_K1,G2,4,1,2,2,3,12,1,70,50,190,111,35,25,50,70,50,40,665000,0.760083,base
MPV2_base_G2_2x2_L3_S6_G32_K1,G2,6,2,2,2,3,12,1,50,70,190,111,25,35,50,50,70,40,665000,0.760083,base
MPV2_ext_G1_2x3_L4_S2_G32_K2,G1,2,2,2,3,4,24,2,120,90,200,318,60,30,40,50,70,40,2160000,0.752411,ext
MPV2_ext_G1_3x2_L4_S2_G31_K2,G1,2,1,3,2,4,24,2,180,60,200,318,60,30,40,70,50,40,2160000,0.752411,ext
MPV2_ext_G1_2x3_L4_S5_G32_K2,G1,5,2,2,3,4,24,2,60,180,200,318,30,60,40,50,70,40,2160000,0.752411,ext
MPV2_ext_G1_3x2_L4_S5_G31_K2,G1,5,1,3,2,4,24,2,90,120,200,318,30,60,40,70,50,40,2160000,0.752411,ext
MPV2_ext_G2_1x3_L4_S2_G32_K1,G2,2,2,1,3,4,12,1,50,75,180,111,50,25,35,50,70,40,675000,0.752258,ext
MPV2_ext_G2_3x1_L4_S5_G31_K1,G2,5,1,3,1,4,12,1,75,50,180,111,25,50,35,70,50,40,675000,0.752258,ext
MPV2_base_G2_2x2_L3_S1_G32_K2,G2,1,2,2,2,3,12,2,100,70,115,126,50,35,25,50,70,40,805000,0.736046,base
MPV2_base_G2_2x2_L3_S3_G31_K2,G2,3,1,2,2,3,12,2,70,100,115,126,35,50,25,70,50,40,805000,0.736046,base
MPV2_base_G2_2x2_L2_S1_G32_K2,G2,1,2,2,2,2,8,2,100,70,90,94,50,35,25,50,70,40,630000,0.702231,base
MPV2_base_G2_2x2_L2_S3_G31_K2,G2,3,1,2,2,2,8,2,70,100,90,94,35,50,25,70,50,40,630000,0.702231,base
MPV2_base_G1_2x2_L4_S1_G32_K2,G1,1,2,2,2,4,16,2,120,80,160,222,60,40,30,50,70,40,1536000,0.698518,base
MPV2_base_G1_2x2_L4_S3_G31_K2,G1,3,1,2,2,4,16,2,80,120,160,222,40,60,30,70,50,40,1536000,0.698518,base
MPV2_base_G2_1x2_L4_S1_G32_K1,G2,1,2,1,2,4,8,1,50,70,140,79,50,35,25,50,70,40,490000,0.691705,base
MPV2_base_G2_2x1_L4_S3_G31_K1,G2,3,1,2,1,4,8,1,70,50,140,79,35,50,25,70,50,40,490000,0.691705,base
MPV2_base_G2_2x2_L2_S4_G31_K1,G2,4,1,2,2,2,8,1,70,50,140,79,35,25,50,70,50,40,490000,0.691705,base
MPV2_base_G2_2x2_L2_S6_G32_K1,G2,6,2,2,2,2,8,1,50,70,140,79,25,35,50,50,70,40,490000,0.691705,base
MPV2_base_G2_2x2_L1_S1_G32_K2,G2,1,2,2,2,1,4,2,100,70,65,62,50,35,25,50,70,40,455000,0.668415,base
MPV2_base_G2_2x2_L1_S3_G31_K2,G2,3,1,2,2,1,4,2,70,100,65,62,35,50,25,70,50,40,455000,0.668415,base
MPV2_base_G1_2x2_L3_S1_G32_K2,G1,1,2,2,2,3,12,2,120,80,130,174,60,40,30,50,70,40,1248000,0.658164,base
MPV2_base_G1_2x2_L3_S3_G31_K2,G1,3,1,2,2,3,12,2,80,120,130,174,40,60,30,70,50,40,1248000,0.658164,base
