truck_name,param_name,param_value,vehicle_count,total_cost,avg_space_utilization,avg_weight_utilization,avg_fullness_score,success,error
车型1,HYBRID_KEEP_BASE,10,25,11250.0,0.609971,0.274,0.515899,1,
车型1,HYBRID_KEEP_BASE,14,25,11250.0,0.609971,0.274,0.515899,1,
车型1,HYBRID_KEEP_BASE,18,25,11250.0,0.609896,0.274,0.515845,1,
车型1,HYBRID_KEEP_BASE,22,25,11250.0,0.61,0.274,0.51592,1,
车型1,HYBRID_KEEP_BASE,26,25,11250.0,0.61,0.274,0.51592,1,
车型1,HYBRID_KEEP_EXT,8,26,11700.0,0.583625,0.263462,0.493979,1,
车型1,HYBRID_KEEP_EXT,11,25,11250.0,0.609198,0.274,0.515343,1,
车型1,HYBRID_KEEP_EXT,14,25,11250.0,0.609896,0.274,0.515845,1,
车型1,HYBRID_KEEP_EXT,17,25,11250.0,0.609896,0.274,0.515845,1,
车型1,HYBRID_KEEP_EXT,20,25,11250.0,0.609896,0.274,0.515845,1,
车型1,HYBRID_KEEP_LIFTED,10,25,11250.0,0.609896,0.274,0.515845,1,
车型1,HYBRID_KEEP_LIFTED,14,25,11250.0,0.609896,0.274,0.515845,1,
车型1,HYBRID_KEEP_LIFTED,18,25,11250.0,0.609896,0.274,0.515845,1,
车型1,HYBRID_KEEP_LIFTED,22,25,11250.0,0.609875,0.274,0.51583,1,
车型1,HYBRID_KEEP_LIFTED,26,26,11700.0,0.591261,0.263462,0.499477,1,
车型1,MAX_SPACES_TO_CHECK,40,26,11700.0,0.586438,0.263462,0.496005,1,
车型1,MAX_SPACES_TO_CHECK,60,25,11250.0,0.609896,0.274,0.515845,1,
车型1,MAX_SPACES_TO_CHECK,80,25,11250.0,0.609896,0.274,0.515845,1,
车型1,MAX_SPACES_TO_CHECK,100,25,11250.0,0.609896,0.274,0.515845,1,
车型1,MAX_SPACES_TO_CHECK,120,25,11250.0,0.609896,0.274,0.515845,1,
车型1,MIN_SPACE_VOLUME,10000,25,11250.0,0.609896,0.274,0.515845,1,
车型1,MIN_SPACE_VOLUME,15000,25,11250.0,0.609896,0.274,0.515845,1,
车型1,MIN_SPACE_VOLUME,20000,25,11250.0,0.609896,0.274,0.515845,1,
车型1,MIN_SPACE_VOLUME,25000,25,11250.0,0.609896,0.274,0.515845,1,
车型1,MIN_SPACE_VOLUME,30000,25,11250.0,0.609896,0.274,0.515845,1,
