item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,source_token,support_by,direct_supported_weight
G3_车型1_007_0001,G3,fragile,0,0,0,50,70,40,15,2,WLH,车型1_007,G3#0171,,0.0
G3_车型1_007_0002,G3,fragile,0,70,0,50,70,40,15,2,WLH,车型1_007,G3#0051,,0.0
G3_车型1_007_0003,G3,fragile,0,140,0,50,70,40,15,2,WLH,车型1_007,G3#0256,,0.0
G3_车型1_007_0004,G3,fragile,50,0,0,50,70,40,15,2,WLH,车型1_007,G3#0077,,0.0
G3_车型1_007_0005,G3,fragile,50,70,0,50,70,40,15,2,WLH,车型1_007,G3#0028,,0.0
G3_车型1_007_0006,G3,fragile,50,140,0,50,70,40,15,2,WLH,车型1_007,G3#0130,,0.0
G3_车型1_007_0007,G3,fragile,100,0,0,50,70,40,15,2,WLH,车型1_007,G3#0046,,0.0
G3_车型1_007_0008,G3,fragile,100,70,0,50,70,40,15,2,WLH,车型1_007,G3#0129,,0.0
G3_车型1_007_0009,G3,fragile,100,140,0,50,70,40,15,2,WLH,车型1_007,G3#0248,,0.0
G3_车型1_007_0010,G3,fragile,150,0,0,50,70,40,15,2,WLH,车型1_007,G3#0001,,0.0
G3_车型1_007_0011,G3,fragile,150,70,0,50,70,40,15,2,WLH,车型1_007,G3#0239,,0.0
G3_车型1_007_0012,G3,fragile,150,140,0,50,70,40,15,2,WLH,车型1_007,G3#0169,,0.0
G3_车型1_007_0013,G3,fragile,200,0,0,50,70,40,15,2,WLH,车型1_007,G3#0287,,0.0
G3_车型1_007_0014,G3,fragile,200,70,0,50,70,40,15,2,WLH,车型1_007,G3#0076,,0.0
G3_车型1_007_0015,G3,fragile,200,140,0,50,70,40,15,2,WLH,车型1_007,G3#0231,,0.0
G3_车型1_007_0016,G3,fragile,250,0,0,70,50,40,15,1,LWH,车型1_007,G3#0088,,0.0
G3_车型1_007_0017,G3,fragile,250,50,0,70,50,40,15,1,LWH,车型1_007,G3#0202,,0.0
G3_车型1_007_0018,G3,fragile,250,100,0,70,50,40,15,1,LWH,车型1_007,G3#0185,,0.0
G3_车型1_007_0019,G3,fragile,250,150,0,70,50,40,15,1,LWH,车型1_007,G3#0030,,0.0
G3_车型1_007_0020,G3,fragile,320,0,0,70,50,40,15,1,LWH,车型1_007,G3#0003,,0.0
G3_车型1_007_0021,G3,fragile,320,50,0,70,50,40,15,1,LWH,车型1_007,G3#0142,,0.0
G3_车型1_007_0022,G3,fragile,320,100,0,70,50,40,15,1,LWH,车型1_007,G3#0065,,0.0
G3_车型1_007_0023,G3,fragile,320,150,0,70,50,40,15,1,LWH,车型1_007,G3#0263,,0.0
