item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,source_token,support_by,direct_supported_weight
G3_车型1_014_0001,G3,fragile,0,0,0,50,70,40,15,2,WLH,车型1_014,G3#0058,,0.0
G4_车型1_014_0001,G4,oriented,50,0,0,80,60,50,25,1,LWH,车型1_014,G4#0164,,25.0
G4_车型1_014_0002,G4,oriented,50,60,0,80,60,50,25,1,LWH,车型1_014,G4#0359,,25.0
G4_车型1_014_0003,G4,oriented,50,120,0,80,60,50,25,1,LWH,车型1_014,G4#0150,,25.0
G4_车型1_014_0004,G4,oriented,130,0,0,80,60,50,25,1,LWH,车型1_014,G4#0186,,25.0
G4_车型1_014_0005,G4,oriented,130,60,0,80,60,50,25,1,LWH,车型1_014,G4#0336,,25.0
G4_车型1_014_0006,G4,oriented,130,120,0,80,60,50,25,1,LWH,车型1_014,G4#0192,,25.0
G4_车型1_014_0007,G4,oriented,210,0,0,80,60,50,25,1,LWH,车型1_014,G4#0400,,25.0
G4_车型1_014_0008,G4,oriented,210,60,0,80,60,50,25,1,LWH,车型1_014,G4#0124,,25.0
G4_车型1_014_0009,G4,oriented,210,120,0,80,60,50,25,1,LWH,车型1_014,G4#0003,,25.0
G4_车型1_014_0010,G4,oriented,290,0,0,80,60,50,25,1,LWH,车型1_014,G4#0017,,25.0
G4_车型1_014_0011,G4,oriented,290,60,0,80,60,50,25,1,LWH,车型1_014,G4#0298,,25.0
G4_车型1_014_0012,G4,oriented,290,120,0,80,60,50,25,1,LWH,车型1_014,G4#0166,,25.0
G4_车型1_014_0013,G4,oriented,50,0,50,80,60,50,25,1,LWH,车型1_014,G4#0115,G4_车型1_014_0001,25.0
G4_车型1_014_0014,G4,oriented,50,0,100,80,60,50,25,1,LWH,车型1_014,G4#0232,G4_车型1_014_0013,25.0
G4_车型1_014_0015,G4,oriented,50,0,150,80,60,50,25,1,LWH,车型1_014,G4#0139,G4_车型1_014_0014,0.0
G4_车型1_014_0016,G4,oriented,130,0,50,80,60,50,25,1,LWH,车型1_014,G4#0382,G4_车型1_014_0004,25.0
G4_车型1_014_0017,G4,oriented,130,0,100,80,60,50,25,1,LWH,车型1_014,G4#0267,G4_车型1_014_0016,25.0
G4_车型1_014_0018,G4,oriented,130,0,150,80,60,50,25,1,LWH,车型1_014,G4#0301,G4_车型1_014_0017,0.0
G4_车型1_014_0019,G4,oriented,210,0,50,80,60,50,25,1,LWH,车型1_014,G4#0117,G4_车型1_014_0007,25.0
G4_车型1_014_0020,G4,oriented,210,0,100,80,60,50,25,1,LWH,车型1_014,G4#0095,G4_车型1_014_0019,25.0
G4_车型1_014_0021,G4,oriented,210,0,150,80,60,50,25,1,LWH,车型1_014,G4#0107,G4_车型1_014_0020,0.0
G4_车型1_014_0022,G4,oriented,290,0,50,80,60,50,25,1,LWH,车型1_014,G4#0011,G4_车型1_014_0010,25.0
G4_车型1_014_0023,G4,oriented,290,0,100,80,60,50,25,1,LWH,车型1_014,G4#0082,G4_车型1_014_0022,25.0
G4_车型1_014_0024,G4,oriented,290,0,150,80,60,50,25,1,LWH,车型1_014,G4#0102,G4_车型1_014_0023,0.0
G4_车型1_014_0025,G4,oriented,50,60,50,80,60,50,25,1,LWH,车型1_014,G4#0185,G4_车型1_014_0002,25.0
G4_车型1_014_0026,G4,oriented,50,60,100,80,60,50,25,1,LWH,车型1_014,G4#0070,G4_车型1_014_0025,25.0
G4_车型1_014_0027,G4,oriented,50,60,150,80,60,50,25,1,LWH,车型1_014,G4#0340,G4_车型1_014_0026,0.0
G4_车型1_014_0028,G4,oriented,130,60,50,80,60,50,25,1,LWH,车型1_014,G4#0040,G4_车型1_014_0005,25.0
G4_车型1_014_0029,G4,oriented,130,60,100,80,60,50,25,1,LWH,车型1_014,G4#0231,G4_车型1_014_0028,25.0
G4_车型1_014_0030,G4,oriented,130,60,150,80,60,50,25,1,LWH,车型1_014,G4#0381,G4_车型1_014_0029,0.0
G4_车型1_014_0031,G4,oriented,210,60,50,80,60,50,25,1,LWH,车型1_014,G4#0087,G4_车型1_014_0008,25.0
G4_车型1_014_0032,G4,oriented,210,60,100,80,60,50,25,1,LWH,车型1_014,G4#0020,G4_车型1_014_0031,25.0
G4_车型1_014_0033,G4,oriented,210,60,150,80,60,50,25,1,LWH,车型1_014,G4#0197,G4_车型1_014_0032,0.0
G4_车型1_014_0034,G4,oriented,290,60,50,80,60,50,25,1,LWH,车型1_014,G4#0106,G4_车型1_014_0011,25.0
G4_车型1_014_0035,G4,oriented,290,60,100,80,60,50,25,1,LWH,车型1_014,G4#0188,G4_车型1_014_0034,25.0
G4_车型1_014_0036,G4,oriented,290,60,150,80,60,50,25,1,LWH,车型1_014,G4#0282,G4_车型1_014_0035,0.0
G4_车型1_014_0037,G4,oriented,50,120,50,80,60,50,25,1,LWH,车型1_014,G4#0365,G4_车型1_014_0003,25.0
G4_车型1_014_0038,G4,oriented,50,120,100,80,60,50,25,1,LWH,车型1_014,G4#0143,G4_车型1_014_0037,25.0
G4_车型1_014_0039,G4,oriented,50,120,150,80,60,50,25,1,LWH,车型1_014,G4#0116,G4_车型1_014_0038,0.0
G4_车型1_014_0040,G4,oriented,130,120,50,80,60,50,25,1,LWH,车型1_014,G4#0270,G4_车型1_014_0006,25.0
G4_车型1_014_0041,G4,oriented,130,120,100,80,60,50,25,1,LWH,车型1_014,G4#0056,G4_车型1_014_0040,25.0
G4_车型1_014_0042,G4,oriented,130,120,150,80,60,50,25,1,LWH,车型1_014,G4#0356,G4_车型1_014_0041,0.0
G4_车型1_014_0043,G4,oriented,210,120,50,80,60,50,25,1,LWH,车型1_014,G4#0358,G4_车型1_014_0009,25.0
G4_车型1_014_0044,G4,oriented,210,120,100,80,60,50,25,1,LWH,车型1_014,G4#0308,G4_车型1_014_0043,25.0
G4_车型1_014_0045,G4,oriented,210,120,150,80,60,50,25,1,LWH,车型1_014,G4#0363,G4_车型1_014_0044,0.0
G4_车型1_014_0046,G4,oriented,290,120,50,80,60,50,25,1,LWH,车型1_014,G4#0296,G4_车型1_014_0012,25.0
G4_车型1_014_0047,G4,oriented,290,120,100,80,60,50,25,1,LWH,车型1_014,G4#0366,G4_车型1_014_0046,25.0
G4_车型1_014_0048,G4,oriented,290,120,150,80,60,50,25,1,LWH,车型1_014,G4#0399,G4_车型1_014_0047,0.0
