item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,source_token,support_by,direct_supported_weight
G2_车型1_029_0001,G2,standard,0,0,0,35,50,25,8,3,WLH,车型1_029,G2#0351,,8.0
G2_车型1_029_0002,G2,standard,0,50,0,35,50,25,8,3,WLH,车型1_029,G2#0471,,8.0
G2_车型1_029_0003,G2,standard,0,100,0,35,50,25,8,3,WLH,车型1_029,G2#0178,,8.0
G2_车型1_029_0004,G2,standard,0,150,0,35,50,25,8,3,WLH,车型1_029,G2#0554,,8.0
G2_车型1_029_0005,G2,standard,35,0,0,35,50,25,8,3,WLH,车型1_029,G2#0386,,8.0
G2_车型1_029_0006,G2,standard,35,50,0,35,50,25,8,3,WLH,车型1_029,G2#0785,,8.0
G2_车型1_029_0007,G2,standard,35,100,0,35,50,25,8,3,WLH,车型1_029,G2#0490,,8.0
G2_车型1_029_0008,G2,standard,35,150,0,35,50,25,8,3,WLH,车型1_029,G2#0333,,8.0
G2_车型1_029_0009,G2,standard,70,0,0,35,50,25,8,3,WLH,车型1_029,G2#0213,,8.0
G2_车型1_029_0010,G2,standard,70,50,0,35,50,25,8,3,WLH,车型1_029,G2#0594,,8.0
G2_车型1_029_0011,G2,standard,70,100,0,35,50,25,8,3,WLH,车型1_029,G2#0142,,8.0
G2_车型1_029_0012,G2,standard,70,150,0,35,50,25,8,3,WLH,车型1_029,G2#0064,,8.0
G2_车型1_029_0013,G2,standard,105,0,0,35,50,25,8,3,WLH,车型1_029,G2#0483,,8.0
G2_车型1_029_0014,G2,standard,105,50,0,35,50,25,8,3,WLH,车型1_029,G2#0514,,8.0
G2_车型1_029_0015,G2,standard,105,100,0,35,50,25,8,3,WLH,车型1_029,G2#0784,,8.0
G2_车型1_029_0016,G2,standard,105,150,0,35,50,25,8,3,WLH,车型1_029,G2#0693,,8.0
G2_车型1_029_0017,G2,standard,140,0,0,35,50,25,8,3,WLH,车型1_029,G2#0423,,8.0
G2_车型1_029_0018,G2,standard,140,50,0,35,50,25,8,3,WLH,车型1_029,G2#0156,,8.0
G2_车型1_029_0019,G2,standard,140,100,0,35,50,25,8,3,WLH,车型1_029,G2#0719,,8.0
G2_车型1_029_0020,G2,standard,140,150,0,35,50,25,8,3,WLH,车型1_029,G2#0857,,8.0
G2_车型1_029_0021,G2,standard,175,0,0,35,50,25,8,3,WLH,车型1_029,G2#0452,,8.0
G2_车型1_029_0022,G2,standard,175,50,0,35,50,25,8,3,WLH,车型1_029,G2#0020,,8.0
G2_车型1_029_0023,G2,standard,175,100,0,35,50,25,8,3,WLH,车型1_029,G2#0965,,8.0
G2_车型1_029_0024,G2,standard,175,150,0,35,50,25,8,3,WLH,车型1_029,G2#0573,,8.0
G2_车型1_029_0025,G2,standard,210,0,0,50,35,25,8,1,LWH,车型1_029,G2#0033,,8.0
G2_车型1_029_0026,G2,standard,210,35,0,50,35,25,8,1,LWH,车型1_029,G2#0249,,8.0
G2_车型1_029_0027,G2,standard,210,70,0,50,35,25,8,1,LWH,车型1_029,G2#0152,,8.0
G2_车型1_029_0028,G2,standard,210,105,0,50,35,25,8,1,LWH,车型1_029,G2#0390,,8.0
G2_车型1_029_0029,G2,standard,210,140,0,50,35,25,8,1,LWH,车型1_029,G2#0537,,8.0
G2_车型1_029_0030,G2,standard,210,175,0,50,35,25,8,1,LWH,车型1_029,G2#0175,,8.0
G2_车型1_029_0031,G2,standard,260,0,0,50,35,25,8,1,LWH,车型1_029,G2#0492,,8.0
G2_车型1_029_0032,G2,standard,260,35,0,50,35,25,8,1,LWH,车型1_029,G2#0626,,8.0
G2_车型1_029_0033,G2,standard,260,70,0,50,35,25,8,1,LWH,车型1_029,G2#0234,,8.0
G2_车型1_029_0034,G2,standard,260,105,0,50,35,25,8,1,LWH,车型1_029,G2#0720,,8.0
G2_车型1_029_0035,G2,standard,260,140,0,50,35,25,8,1,LWH,车型1_029,G2#0989,,8.0
G2_车型1_029_0036,G2,standard,260,175,0,50,35,25,8,1,LWH,车型1_029,G2#0028,,8.0
G2_车型1_029_0037,G2,standard,310,0,0,50,35,25,8,1,LWH,车型1_029,G2#0714,,8.0
G2_车型1_029_0038,G2,standard,310,35,0,50,35,25,8,1,LWH,车型1_029,G2#0716,,8.0
G2_车型1_029_0039,G2,standard,310,70,0,50,35,25,8,1,LWH,车型1_029,G2#0113,,8.0
G2_车型1_029_0040,G2,standard,310,105,0,50,35,25,8,1,LWH,车型1_029,G2#0957,,8.0
G2_车型1_029_0041,G2,standard,310,140,0,50,35,25,8,1,LWH,车型1_029,G2#0797,,8.0
G2_车型1_029_0042,G2,standard,310,175,0,50,35,25,8,1,LWH,车型1_029,G2#0018,,8.0
G2_车型1_029_0043,G2,standard,360,0,0,50,35,25,8,1,LWH,车型1_029,G2#0487,,8.0
G2_车型1_029_0044,G2,standard,360,35,0,50,35,25,8,1,LWH,车型1_029,G2#0585,,8.0
G2_车型1_029_0045,G2,standard,360,70,0,50,35,25,8,1,LWH,车型1_029,G2#0577,,8.0
G2_车型1_029_0046,G2,standard,360,105,0,50,35,25,8,1,LWH,车型1_029,G2#0502,,8.0
G2_车型1_029_0047,G2,standard,360,140,0,50,35,25,8,1,LWH,车型1_029,G2#0546,,8.0
G2_车型1_029_0048,G2,standard,360,175,0,50,35,25,8,1,LWH,车型1_029,G2#0603,,8.0
G2_车型1_029_0049,G2,standard,0,0,25,35,50,25,8,3,WLH,车型1_029,G2#0520,G2_车型1_029_0001,8.0
G2_车型1_029_0050,G2,standard,0,0,50,35,50,25,8,3,WLH,车型1_029,G2#0345,G2_车型1_029_0049,8.0
G2_车型1_029_0051,G2,standard,0,0,75,35,50,25,8,3,WLH,车型1_029,G2#0307,G2_车型1_029_0050,8.0
G2_车型1_029_0052,G2,standard,0,0,100,35,50,25,8,3,WLH,车型1_029,G2#0747,G2_车型1_029_0051,8.0
G2_车型1_029_0053,G2,standard,0,0,125,35,50,25,8,3,WLH,车型1_029,G2#0167,G2_车型1_029_0052,8.0
G2_车型1_029_0054,G2,standard,0,0,150,35,50,25,8,3,WLH,车型1_029,G2#0680,G2_车型1_029_0053,8.0
G2_车型1_029_0055,G2,standard,0,0,175,35,50,25,8,3,WLH,车型1_029,G2#0664,G2_车型1_029_0054,0.0
G2_车型1_029_0056,G2,standard,35,0,25,35,50,25,8,3,WLH,车型1_029,G2#0144,G2_车型1_029_0005,8.0
G2_车型1_029_0057,G2,standard,35,0,50,35,50,25,8,3,WLH,车型1_029,G2#0708,G2_车型1_029_0056,8.0
