item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,source_token,support_by,direct_supported_weight
G4_车型1_019_0001,G4,oriented,0,0,0,80,60,50,25,1,LWH,车型1_019,G4#0135,,25.0
G4_车型1_019_0002,G4,oriented,0,60,0,80,60,50,25,1,LWH,车型1_019,G4#0067,,25.0
G4_车型1_019_0003,G4,oriented,0,120,0,80,60,50,25,1,LWH,车型1_019,G4#0171,,25.0
G4_车型1_019_0004,G4,oriented,80,0,0,80,60,50,25,1,LWH,车型1_019,G4#0002,,25.0
G4_车型1_019_0005,G4,oriented,80,60,0,80,60,50,25,1,LWH,车型1_019,G4#0023,,25.0
G4_车型1_019_0006,G4,oriented,80,120,0,80,60,50,25,1,LWH,车型1_019,G4#0142,,25.0
G4_车型1_019_0007,G4,oriented,160,0,0,80,60,50,25,1,LWH,车型1_019,G4#0217,,25.0
G4_车型1_019_0008,G4,oriented,160,60,0,80,60,50,25,1,LWH,车型1_019,G4#0048,,25.0
G4_车型1_019_0009,G4,oriented,160,120,0,80,60,50,25,1,LWH,车型1_019,G4#0027,,25.0
G4_车型1_019_0010,G4,oriented,240,0,0,80,60,50,25,1,LWH,车型1_019,G4#0129,,25.0
G4_车型1_019_0011,G4,oriented,240,60,0,80,60,50,25,1,LWH,车型1_019,G4#0251,,25.0
G4_车型1_019_0012,G4,oriented,240,120,0,80,60,50,25,1,LWH,车型1_019,G4#0259,,25.0
G4_车型1_019_0013,G4,oriented,320,0,0,80,60,50,25,1,LWH,车型1_019,G4#0311,,25.0
G4_车型1_019_0014,G4,oriented,320,60,0,80,60,50,25,1,LWH,车型1_019,G4#0351,,25.0
G4_车型1_019_0015,G4,oriented,320,120,0,80,60,50,25,1,LWH,车型1_019,G4#0176,,25.0
G4_车型1_019_0016,G4,oriented,0,0,50,80,60,50,25,1,LWH,车型1_019,G4#0108,G4_车型1_019_0001,25.0
G4_车型1_019_0017,G4,oriented,0,0,100,80,60,50,25,1,LWH,车型1_019,G4#0145,G4_车型1_019_0016,25.0
G4_车型1_019_0018,G4,oriented,0,0,150,80,60,50,25,1,LWH,车型1_019,G4#0140,G4_车型1_019_0017,0.0
G4_车型1_019_0019,G4,oriented,80,0,50,80,60,50,25,1,LWH,车型1_019,G4#0394,G4_车型1_019_0004,25.0
