item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,source_token,support_by,direct_supported_weight
G3_车型1_003_0001,G3,fragile,0,0,0,50,70,40,15,2,WLH,车型1_003,G3#0262,,0.0
G3_车型1_003_0002,G3,fragile,0,70,0,50,70,40,15,2,WLH,车型1_003,G3#0160,,0.0
G3_车型1_003_0003,G3,fragile,0,140,0,50,70,40,15,2,WLH,车型1_003,G3#0209,,0.0
G3_车型1_003_0004,G3,fragile,50,0,0,50,70,40,15,2,WLH,车型1_003,G3#0056,,0.0
G3_车型1_003_0005,G3,fragile,50,70,0,50,70,40,15,2,WLH,车型1_003,G3#0007,,0.0
G3_车型1_003_0006,G3,fragile,50,140,0,50,70,40,15,2,WLH,车型1_003,G3#0270,,0.0
G3_车型1_003_0007,G3,fragile,100,0,0,50,70,40,15,2,WLH,车型1_003,G3#0027,,0.0
G3_车型1_003_0008,G3,fragile,100,70,0,50,70,40,15,2,WLH,车型1_003,G3#0234,,0.0
G3_车型1_003_0009,G3,fragile,100,140,0,50,70,40,15,2,WLH,车型1_003,G3#0114,,0.0
G3_车型1_003_0010,G3,fragile,150,0,0,50,70,40,15,2,WLH,车型1_003,G3#0140,,0.0
G3_车型1_003_0011,G3,fragile,150,70,0,50,70,40,15,2,WLH,车型1_003,G3#0154,,0.0
G3_车型1_003_0012,G3,fragile,150,140,0,50,70,40,15,2,WLH,车型1_003,G3#0106,,0.0
G3_车型1_003_0013,G3,fragile,200,0,0,50,70,40,15,2,WLH,车型1_003,G3#0285,,0.0
G3_车型1_003_0014,G3,fragile,200,70,0,50,70,40,15,2,WLH,车型1_003,G3#0190,,0.0
G3_车型1_003_0015,G3,fragile,200,140,0,50,70,40,15,2,WLH,车型1_003,G3#0233,,0.0
G3_车型1_003_0016,G3,fragile,250,0,0,70,50,40,15,1,LWH,车型1_003,G3#0244,,0.0
G3_车型1_003_0017,G3,fragile,250,50,0,70,50,40,15,1,LWH,车型1_003,G3#0047,,0.0
G3_车型1_003_0018,G3,fragile,250,100,0,70,50,40,15,1,LWH,车型1_003,G3#0257,,0.0
G3_车型1_003_0019,G3,fragile,250,150,0,70,50,40,15,1,LWH,车型1_003,G3#0043,,0.0
G3_车型1_003_0020,G3,fragile,320,0,0,70,50,40,15,1,LWH,车型1_003,G3#0208,,0.0
G3_车型1_003_0021,G3,fragile,320,50,0,70,50,40,15,1,LWH,车型1_003,G3#0066,,0.0
G3_车型1_003_0022,G3,fragile,320,100,0,70,50,40,15,1,LWH,车型1_003,G3#0133,,0.0
G3_车型1_003_0023,G3,fragile,320,150,0,70,50,40,15,1,LWH,车型1_003,G3#0237,,0.0
