vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,0.850336,0.5258,0.759466,"{'G1': 382, 'G3': 22, 'G5': 4, 'G2': 34}",5258.0,34991500,11
车型2_002,0.863714,0.5424,0.773746,"{'G1': 356, 'G3': 24, 'G2': 72, 'G5': 12}",5424.0,35542000,13
车型2_003,0.935366,0.6332,0.85076,"{'G1': 62, 'G3': 28, 'G2': 646}",6332.0,38490500,14
车型2_004,0.804613,0.4554,0.706834,"{'G2': 248, 'G3': 10, 'G4': 68, 'G5': 40}",4554.0,33110000,5
车型2_005,0.83985,0.456,0.732372,"{'G4': 96, 'G5': 120}",4560.0,34560000,0
车型2_006,0.427799,0.2997,0.391931,"{'G5': 144, 'G3': 27}",2997.0,17604000,0
车型2_007,0.802523,0.3632,0.679513,"{'G4': 128, 'G5': 24}",3632.0,33024000,0
车型2_008,0.21667,0.1233,0.190526,"{'G3': 39, 'G5': 36}",1233.0,8916000,0
车型2_009,0.332829,0.1888,0.292501,"{'G3': 32, 'G5': 56, 'G4': 16}",1888.0,13696000,0
车型2_010,0.487968,0.226,0.414617,"{'G3': 20, 'G5': 20, 'G4': 64}",2260.0,20080000,0
车型2_011,0.21667,0.1233,0.190526,"{'G3': 39, 'G5': 36}",1233.0,8916000,0
车型2_012,0.236402,0.1084,0.200562,"{'G3': 16, 'G5': 8, 'G4': 28}",1084.0,9728000,0
车型2_013,0.132685,0.0585,0.111913,{'G3': 39},585.0,5460000,0
车型2_014,0.013609,0.006,0.011478,{'G3': 4},60.0,560000,0
