vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型2_001,0.746533,0.32,0.627104,{'G4': 128},3200.0,30720000
车型2_002,0.746533,0.32,0.627104,{'G4': 128},3200.0,30720000
车型2_003,0.746533,0.32,0.627104,{'G4': 128},3200.0,30720000
车型2_004,0.664881,0.481,0.613395,"{'G4': 16, 'G5': 245}",4810.0,27360000
车型2_005,0.594894,0.459,0.556844,{'G5': 255},4590.0,24480000
车型2_006,0.119076,0.0525,0.100435,{'G3': 35},525.0,4900000
车型2_007,0.129282,0.057,0.109043,{'G3': 38},570.0,5320000
车型2_008,0.105467,0.0465,0.088956,{'G3': 31},465.0,4340000
车型2_009,0.122478,0.054,0.103304,{'G3': 36},540.0,5040000
车型2_010,0.129282,0.057,0.109043,{'G3': 38},570.0,5320000
车型2_011,0.119076,0.0525,0.100435,{'G3': 35},525.0,4900000
车型2_012,0.119076,0.0525,0.100435,{'G3': 35},525.0,4900000
车型2_013,0.12588,0.0555,0.106174,{'G3': 37},555.0,5180000
车型2_014,0.261542,0.1809,0.238962,"{'G3': 15, 'G2': 198}",1809.0,10762500
车型2_015,0.22752,0.1712,0.211751,{'G2': 214},1712.0,9362500
车型2_016,0.242405,0.1824,0.225603,{'G2': 228},1824.0,9975000
车型2_017,0.228583,0.172,0.21274,{'G2': 215},1720.0,9406250
车型2_018,0.176907,0.1316,0.164221,"{'G2': 145, 'G1': 13}",1316.0,7279750
车型2_019,0.428673,0.294,0.390965,{'G1': 245},2940.0,17640000
车型2_020,0.306195,0.21,0.279261,{'G1': 175},2100.0,12600000
车型2_021,0.33769,0.2316,0.307985,{'G1': 193},2316.0,13896000
车型2_022,0.304446,0.2088,0.277665,{'G1': 174},2088.0,12528000
