item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,support_by,truck_id
G4_001,G4,oriented,0,0,0,80,60,50,25,1,LWH,,车型1
G4_002,G4,oriented,0,0,50,80,60,50,25,1,LWH,G4_001,车型1
G4_003,G4,oriented,0,0,100,80,60,50,25,1,LWH,G4_002,车型1
G4_004,G4,oriented,0,0,150,80,60,50,25,1,LWH,G4_003,车型1
G4_005,G4,oriented,0,60,0,80,60,50,25,1,LWH,,车型1
G4_006,G4,oriented,0,60,50,80,60,50,25,1,LWH,G4_005,车型1
G4_007,G4,oriented,0,60,100,80,60,50,25,1,LWH,G4_006,车型1
G4_008,G4,oriented,0,60,150,80,60,50,25,1,LWH,G4_007,车型1
G4_009,G4,oriented,0,120,0,80,60,50,25,1,LWH,,车型1
G4_010,G4,oriented,0,120,50,80,60,50,25,1,LWH,G4_009,车型1
G4_011,G4,oriented,0,120,100,80,60,50,25,1,LWH,G4_010,车型1
G4_012,G4,oriented,0,120,150,80,60,50,25,1,LWH,G4_011,车型1
G4_013,G4,oriented,80,0,0,80,60,50,25,1,LWH,,车型1
G4_014,G4,oriented,80,0,50,80,60,50,25,1,LWH,G4_013,车型1
G4_015,G4,oriented,80,0,100,80,60,50,25,1,LWH,G4_014,车型1
G4_016,G4,oriented,80,0,150,80,60,50,25,1,LWH,G4_015,车型1
G4_017,G4,oriented,80,60,0,80,60,50,25,1,LWH,,车型1
G4_018,G4,oriented,80,60,50,80,60,50,25,1,LWH,G4_017,车型1
G4_019,G4,oriented,80,60,100,80,60,50,25,1,LWH,G4_018,车型1
G4_020,G4,oriented,80,60,150,80,60,50,25,1,LWH,G4_019,车型1
G4_021,G4,oriented,80,120,0,80,60,50,25,1,LWH,,车型1
G4_022,G4,oriented,80,120,50,80,60,50,25,1,LWH,G4_021,车型1
G4_023,G4,oriented,80,120,100,80,60,50,25,1,LWH,G4_022,车型1
G4_024,G4,oriented,80,120,150,80,60,50,25,1,LWH,G4_023,车型1
G4_025,G4,oriented,160,0,0,80,60,50,25,1,LWH,,车型1
G4_026,G4,oriented,160,0,50,80,60,50,25,1,LWH,G4_025,车型1
G4_027,G4,oriented,160,0,100,80,60,50,25,1,LWH,G4_026,车型1
G4_028,G4,oriented,160,0,150,80,60,50,25,1,LWH,G4_027,车型1
G5_001,G5,oriented,160,60,0,40,40,60,18,1,LWH,,车型1
G5_002,G5,oriented,160,60,60,40,40,60,18,1,LWH,G5_001,车型1
G5_003,G5,oriented,160,60,120,40,40,60,18,1,LWH,G5_002,车型1
G5_004,G5,oriented,160,100,0,40,40,60,18,1,LWH,,车型1
G5_005,G5,oriented,160,100,60,40,40,60,18,1,LWH,G5_004,车型1
G5_006,G5,oriented,160,100,120,40,40,60,18,1,LWH,G5_005,车型1
G5_007,G5,oriented,160,140,0,40,40,60,18,1,LWH,,车型1
G5_008,G5,oriented,160,140,60,40,40,60,18,1,LWH,G5_007,车型1
G5_009,G5,oriented,160,140,120,40,40,60,18,1,LWH,G5_008,车型1
G5_010,G5,oriented,200,60,0,40,40,60,18,1,LWH,,车型1
G5_011,G5,oriented,200,60,60,40,40,60,18,1,LWH,G5_010,车型1
G5_012,G5,oriented,200,60,120,40,40,60,18,1,LWH,G5_011,车型1
G5_013,G5,oriented,200,100,0,40,40,60,18,1,LWH,,车型1
G5_014,G5,oriented,200,100,60,40,40,60,18,1,LWH,G5_013,车型1
G5_015,G5,oriented,200,100,120,40,40,60,18,1,LWH,G5_014,车型1
G5_016,G5,oriented,200,140,0,40,40,60,18,1,LWH,,车型1
G5_017,G5,oriented,200,140,60,40,40,60,18,1,LWH,G5_016,车型1
G5_018,G5,oriented,200,140,120,40,40,60,18,1,LWH,G5_017,车型1
G5_019,G5,oriented,240,0,0,40,40,60,18,1,LWH,,车型1
G5_020,G5,oriented,240,0,60,40,40,60,18,1,LWH,G5_019,车型1
G5_021,G5,oriented,240,0,120,40,40,60,18,1,LWH,G5_020,车型1
G5_022,G5,oriented,240,40,0,40,40,60,18,1,LWH,,车型1
G5_023,G5,oriented,240,40,60,40,40,60,18,1,LWH,G5_022,车型1
G5_024,G5,oriented,240,40,120,40,40,60,18,1,LWH,G5_023,车型1
G5_025,G5,oriented,240,80,0,40,40,60,18,1,LWH,,车型1
G5_026,G5,oriented,240,80,60,40,40,60,18,1,LWH,G5_025,车型1
G5_027,G5,oriented,240,80,120,40,40,60,18,1,LWH,G5_026,车型1
G5_028,G5,oriented,240,120,0,40,40,60,18,1,LWH,,车型1
G5_029,G5,oriented,240,120,60,40,40,60,18,1,LWH,G5_028,车型1
G5_030,G5,oriented,240,120,120,40,40,60,18,1,LWH,G5_029,车型1
G5_031,G5,oriented,240,160,0,40,40,60,18,1,LWH,,车型1
G5_032,G5,oriented,240,160,60,40,40,60,18,1,LWH,G5_031,车型1
G5_033,G5,oriented,240,160,120,40,40,60,18,1,LWH,G5_032,车型1
G5_034,G5,oriented,280,0,0,40,40,60,18,1,LWH,,车型1
G5_035,G5,oriented,280,0,60,40,40,60,18,1,LWH,G5_034,车型1
G5_036,G5,oriented,280,0,120,40,40,60,18,1,LWH,G5_035,车型1
