vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack
车型2_001,0.427118,0.2066,0.365373,"{'G3': 46, 'G4': 32, 'G5': 0, 'G1': 48, 'G2': 0}","{'G3': 46, 'G4': 32, 'G1': 48}",2066.0,17576000,True
车型2_002,0.427118,0.2066,0.365373,"{'G3': 46, 'G4': 32, 'G5': 0, 'G1': 48, 'G2': 0}","{'G3': 46, 'G4': 32, 'G1': 48}",2066.0,17576000,True
车型2_003,0.427118,0.2066,0.365373,"{'G3': 46, 'G4': 32, 'G5': 0, 'G1': 48, 'G2': 0}","{'G3': 46, 'G4': 32, 'G1': 48}",2066.0,17576000,True
车型2_004,0.427118,0.2066,0.365373,"{'G3': 46, 'G4': 32, 'G5': 0, 'G1': 48, 'G2': 0}","{'G3': 46, 'G4': 32, 'G1': 48}",2066.0,17576000,True
车型2_005,0.427118,0.2066,0.365373,"{'G3': 46, 'G4': 32, 'G5': 0, 'G1': 48, 'G2': 0}","{'G3': 46, 'G4': 32, 'G1': 48}",2066.0,17576000,True
车型2_006,0.418771,0.203,0.358355,"{'G3': 46, 'G4': 32, 'G5': 0, 'G1': 25, 'G2': 30}","{'G3': 46, 'G4': 32, 'G1': 25, 'G2': 30}",2030.0,17232500,True
车型2_007,0.636182,0.33,0.550451,"{'G3': 24, 'G4': 64, 'G5': 30, 'G1': 32, 'G2': 52}","{'G3': 24, 'G4': 64, 'G1': 32, 'G5': 30, 'G2': 52}",3300.0,26179000,True
车型2_008,0.774528,0.3392,0.652636,"{'G3': 0, 'G4': 128, 'G5': 0, 'G1': 16, 'G2': 0}","{'G4': 128, 'G1': 16}",3392.0,31872000,True
车型2_009,0.648903,0.4518,0.593714,"{'G3': 0, 'G4': 16, 'G5': 95, 'G1': 90, 'G2': 166}","{'G4': 16, 'G1': 90, 'G5': 95, 'G2': 166}",4518.0,26702500,True
车型2_010,0.565696,0.408,0.521541,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 176, 'G2': 102}","{'G1': 176, 'G2': 102, 'G5': 64}",4080.0,23278500,True
车型2_011,0.514973,0.3762,0.476117,"{'G3': 0, 'G4': 0, 'G5': 63, 'G1': 121, 'G2': 147}","{'G2': 147, 'G1': 121, 'G5': 63}",3762.0,21191250,True
车型2_012,0.45611,0.3344,0.422031,"{'G3': 0, 'G4': 0, 'G5': 64, 'G1': 100, 'G2': 124}","{'G2': 124, 'G1': 100, 'G5': 64}",3344.0,18769000,True
车型2_013,0.534584,0.4068,0.498805,"{'G3': 0, 'G4': 0, 'G5': 102, 'G1': 0, 'G2': 279}","{'G2': 279, 'G5': 102}",4068.0,21998250,True
车型2_014,0.297617,0.2276,0.278012,"{'G3': 0, 'G4': 0, 'G5': 82, 'G1': 0, 'G2': 100}","{'G5': 82, 'G2': 100}",2276.0,12247000,True
