vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型1_001,0.846422,0.3,0.693423,"{'G3': 0, 'G4': 60, 'G5': 0, 'G1': 25, 'G2': 0}","{'G3': 0, 'G4': 60, 'G5': 0, 'G1': 25, 'G2': 0}",1800.0,16200000,True,baseline_seed
车型1_002,0.846422,0.3,0.693423,"{'G3': 0, 'G4': 60, 'G5': 0, 'G1': 25, 'G2': 0}","{'G3': 0, 'G4': 60, 'G5': 0, 'G1': 25, 'G2': 0}",1800.0,16200000,True,baseline_seed
车型1_003,0.846422,0.3,0.693423,"{'G3': 0, 'G4': 60, 'G5': 0, 'G1': 25, 'G2': 0}","{'G3': 0, 'G4': 60, 'G5': 0, 'G1': 25, 'G2': 0}",1800.0,16200000,True,baseline_seed
车型1_004,0.641608,0.245,0.530558,"{'G3': 8, 'G4': 36, 'G5': 15, 'G1': 15, 'G2': 0}","{'G3': 8, 'G4': 36, 'G5': 15, 'G1': 15, 'G2': 0}",1470.0,12280000,True,baseline_seed
车型1_005,0.308265,0.1075,0.252051,"{'G3': 19, 'G4': 12, 'G5': 0, 'G1': 5, 'G2': 0}","{'G3': 19, 'G4': 12, 'G5': 0, 'G1': 5, 'G2': 0}",645.0,5900000,True,baseline_seed
车型1_006,0.44829,0.1575,0.366869,"{'G3': 15, 'G4': 24, 'G5': 0, 'G1': 10, 'G2': 0}","{'G3': 15, 'G4': 24, 'G5': 0, 'G1': 10, 'G2': 0}",945.0,8580000,True,baseline_seed
车型1_007,0.44829,0.1575,0.366869,"{'G3': 15, 'G4': 24, 'G5': 0, 'G1': 10, 'G2': 0}","{'G3': 15, 'G4': 24, 'G5': 0, 'G1': 10, 'G2': 0}",945.0,8580000,True,baseline_seed
车型1_008,0.501583,0.195,0.41574,"{'G3': 12, 'G4': 24, 'G5': 15, 'G1': 10, 'G2': 0}","{'G3': 12, 'G4': 24, 'G5': 15, 'G1': 10, 'G2': 0}",1170.0,9600000,True,baseline_seed
车型1_009,0.429481,0.1875,0.361726,"{'G3': 15, 'G4': 12, 'G5': 30, 'G1': 5, 'G2': 0}","{'G3': 15, 'G4': 12, 'G5': 30, 'G1': 5, 'G2': 0}",1125.0,8220000,True,baseline_seed
车型1_010,0.501583,0.195,0.41574,"{'G3': 12, 'G4': 24, 'G5': 15, 'G1': 10, 'G2': 0}","{'G3': 12, 'G4': 24, 'G5': 15, 'G1': 10, 'G2': 0}",1170.0,9600000,True,baseline_seed
车型1_011,0.429481,0.1875,0.361726,"{'G3': 15, 'G4': 12, 'G5': 30, 'G1': 5, 'G2': 0}","{'G3': 15, 'G4': 12, 'G5': 30, 'G1': 5, 'G2': 0}",1125.0,8220000,True,baseline_seed
车型1_012,0.501583,0.195,0.41574,"{'G3': 12, 'G4': 24, 'G5': 15, 'G1': 10, 'G2': 0}","{'G3': 12, 'G4': 24, 'G5': 15, 'G1': 10, 'G2': 0}",1170.0,9600000,True,baseline_seed
