vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.617809,0.318667,0.534049,"{'G1': 54, 'G2': 94, 'G3': 4, 'G5': 14, 'G4': 8}",1912.0,11824500
车型1_002,0.496162,0.257333,0.42929,"{'G4': 4, 'G3': 6, 'G1': 53, 'G2': 47, 'G5': 19}",1544.0,9496250
车型1_003,0.529862,0.266,0.455981,"{'G5': 17, 'G1': 44, 'G2': 59, 'G3': 6, 'G4': 8}",1596.0,10141250
车型1_004,0.574548,0.275833,0.490908,"{'G2': 46, 'G4': 15, 'G3': 4, 'G1': 35, 'G5': 24}",1655.0,10996500
车型1_005,0.461613,0.2105,0.391302,"{'G1': 30, 'G5': 10, 'G3': 9, 'G4': 12, 'G2': 36}",1263.0,8835000
车型1_006,0.620461,0.271833,0.522845,"{'G5': 20, 'G3': 5, 'G1': 37, 'G4': 24, 'G2': 19}",1631.0,11875250
车型1_007,0.512294,0.249667,0.438758,"{'G5': 36, 'G1': 32, 'G3': 8, 'G4': 10, 'G2': 12}",1498.0,9805000
车型1_008,0.561329,0.238333,0.47089,"{'G2': 18, 'G5': 15, 'G3': 7, 'G4': 23, 'G1': 28}",1430.0,10743500
车型1_009,0.486078,0.226,0.413256,"{'G2': 51, 'G4': 12, 'G1': 32, 'G3': 8, 'G5': 8}",1356.0,9303250
车型1_010,0.554707,0.236667,0.465655,"{'G3': 9, 'G2': 29, 'G4': 21, 'G1': 29, 'G5': 10}",1420.0,10616750
车型1_011,0.549116,0.249,0.465083,"{'G5': 11, 'G1': 25, 'G2': 57, 'G3': 6, 'G4': 18}",1494.0,10509750
车型1_012,0.362825,0.172333,0.309487,"{'G5': 10, 'G2': 47, 'G1': 14, 'G3': 14, 'G4': 4}",1034.0,6944250
车型1_013,0.37748,0.1865,0.324006,"{'G3': 12, 'G1': 21, 'G2': 45, 'G4': 3, 'G5': 14}",1119.0,7224750
车型1_014,0.497155,0.211667,0.417218,"{'G4': 19, 'G3': 9, 'G1': 15, 'G5': 4, 'G2': 51}",1270.0,9515250
车型1_015,0.453567,0.234833,0.392322,"{'G4': 3, 'G5': 27, 'G1': 42, 'G2': 28, 'G3': 8}",1409.0,8681000
车型1_016,0.508976,0.244167,0.43483,"{'G3': 8, 'G5': 33, 'G1': 33, 'G4': 11, 'G2': 10}",1465.0,9741500
车型1_017,0.548149,0.251333,0.465041,"{'G4': 15, 'G5': 23, 'G1': 36, 'G3': 9, 'G2': 19}",1508.0,10491250
车型1_018,0.417633,0.181333,0.351469,"{'G4': 11, 'G3': 13, 'G1': 26, 'G2': 27, 'G5': 5}",1088.0,7993250
车型1_019,0.441863,0.222,0.380302,"{'G5': 23, 'G1': 37, 'G3': 10, 'G4': 4, 'G2': 28}",1332.0,8457000
车型1_020,0.49999,0.222167,0.422199,"{'G4': 15, 'G3': 10, 'G5': 14, 'G1': 29, 'G2': 26}",1333.0,9569500
车型1_021,0.521477,0.237167,0.44187,"{'G2': 45, 'G3': 7, 'G4': 16, 'G5': 13, 'G1': 27}",1423.0,9980750
车型1_022,0.511615,0.232167,0.433369,"{'G5': 15, 'G1': 31, 'G4': 15, 'G2': 32, 'G3': 8}",1393.0,9792000
车型1_023,0.432994,0.2065,0.369576,"{'G3': 9, 'G5': 14, 'G1': 31, 'G2': 35, 'G4': 8}",1239.0,8287250
车型1_024,0.661162,0.298667,0.559664,"{'G5': 30, 'G1': 34, 'G3': 4, 'G4': 24, 'G2': 23}",1792.0,12654250
车型1_025,0.392881,0.193833,0.337147,"{'G2': 50, 'G3': 11, 'G5': 13, 'G1': 22, 'G4': 4}",1163.0,7519500
车型1_026,0.573268,0.2355,0.478693,"{'G4': 27, 'G3': 8, 'G5': 11, 'G1': 3, 'G2': 48}",1413.0,10972000
车型1_027,0.433216,0.186833,0.364229,"{'G3': 8, 'G2': 18, 'G5': 24, 'G4': 17}",1121.0,8291500
车型1_028,0.414224,0.195667,0.353028,"{'G5': 43, 'G3': 10, 'G4': 10}",1174.0,7928000
车型1_029,0.396042,0.1325,0.32225,"{'G3': 13, 'G4': 24}",795.0,7580000
车型1_030,0.2905,0.0975,0.23646,"{'G3': 14, 'G4': 15}",585.0,5560000
车型1_031,0.175554,0.06,0.143199,{'G3': 24},360.0,3360000
车型1_032,0.13898,0.0475,0.113366,{'G3': 19},285.0,2660000
