truck_name,param_name,param_value,vehicle_count,total_cost,avg_space_utilization,avg_weight_utilization,avg_fullness_score,success,error
车型1,MAX_TEMPLATES_PER_TRUCK,20,25,11250.0,0.611242,0.274,0.516814,1,
车型1,MAX_TEMPLATES_PER_TRUCK,25,26,11700.0,0.587793,0.263462,0.49698,1,
车型1,MAX_TEMPLATES_PER_TRUCK,30,26,11700.0,0.588126,0.263462,0.49722,1,
车型1,MAX_TEMPLATES_PER_TRUCK,35,26,11700.0,0.588516,0.263462,0.497501,1,
车型1,MAX_TEMPLATES_PER_TRUCK,40,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MAX_SPACES_TO_CHECK,40,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MAX_SPACES_TO_CHECK,60,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MAX_SPACES_TO_CHECK,80,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MAX_SPACES_TO_CHECK,100,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MAX_SPACES_TO_CHECK,120,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MIN_SPACE_VOLUME,10000,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MIN_SPACE_VOLUME,15000,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MIN_SPACE_VOLUME,20000,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MIN_SPACE_VOLUME,25000,26,11700.0,0.588456,0.263462,0.497458,1,
车型1,MIN_SPACE_VOLUME,30000,26,11700.0,0.588456,0.263462,0.497458,1,
