vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型1_001,0.779962,0.400333,0.673666,"{'G5': 75, 'G4': 8, 'G1': 66, 'G3': 4}",2402.0,14928000,4
车型1_002,0.752414,0.340667,0.637125,"{'G1': 107, 'G3': 8, 'G5': 6, 'G4': 12, 'G2': 29}",2044.0,14400750,8
车型1_003,0.780706,0.370833,0.665942,"{'G2': 103, 'G3': 9, 'G4': 12, 'G1': 76, 'G5': 3}",2225.0,14942250,9
车型1_004,0.813701,0.391667,0.695531,"{'G2': 137, 'G3': 8, 'G4': 12, 'G5': 9, 'G1': 56}",2350.0,15573750,8
车型1_005,0.635704,0.307333,0.54376,"{'G3': 14, 'G2': 52, 'G5': 3, 'G1': 97}",1844.0,12167000,10
车型1_006,0.706762,0.323833,0.599542,"{'G3': 13, 'G2': 36, 'G1': 105, 'G4': 8}",1943.0,13527000,10
车型1_007,0.745974,0.329333,0.629315,"{'G3': 10, 'G2': 42, 'G1': 69, 'G4': 20, 'G5': 9}",1976.0,14277500,8
车型1_008,0.701537,0.317667,0.594053,"{'G3': 14, 'G2': 84, 'G1': 52, 'G4': 16}",1906.0,13427000,11
车型1_009,0.770792,0.299167,0.638737,"{'G4': 40, 'G1': 40, 'G3': 5, 'G2': 30}",1795.0,14752500,5
车型1_010,0.750729,0.302833,0.625318,"{'G4': 32, 'G1': 56, 'G3': 7, 'G2': 30}",1817.0,14368500,7
车型1_011,0.772438,0.451,0.682435,"{'G5': 138, 'G1': 16, 'G3': 2}",2706.0,14784000,2
车型1_012,0.622198,0.260333,0.520876,"{'G4': 20, 'G1': 56, 'G3': 10, 'G2': 30}",1562.0,11908500,10
车型1_013,0.759167,0.284667,0.626307,"{'G4': 48, 'G2': 56, 'G3': 4}",1708.0,14530000,1
车型1_014,0.41651,0.170833,0.34772,"{'G3': 19, 'G2': 49, 'G4': 12, 'G1': 4}",1025.0,7971750,6
车型1_015,0.546255,0.223,0.455744,"{'G3': 12, 'G2': 36, 'G4': 24, 'G5': 15}",1338.0,10455000,3
车型1_016,0.599601,0.329667,0.524019,"{'G5': 66, 'G3': 10, 'G2': 80}",1978.0,11476000,6
车型1_017,0.558899,0.269667,0.477914,"{'G3': 14, 'G2': 124, 'G5': 12, 'G4': 8}",1618.0,10697000,8
车型1_018,0.663109,0.278,0.555278,"{'G3': 10, 'G2': 82, 'G4': 28, 'G5': 9}",1668.0,12691500,8
车型1_019,0.410671,0.1375,0.334183,"{'G3': 15, 'G4': 24}",825.0,7860000,0
车型1_020,0.380994,0.1635,0.320096,"{'G3': 13, 'G5': 27, 'G4': 12}",981.0,7292000,0
车型1_021,0.342748,0.175,0.295779,"{'G5': 45, 'G3': 16}",1050.0,6560000,0
车型1_022,0.752375,0.25,0.61171,{'G4': 60},1500.0,14400000,0
车型1_023,0.221533,0.095,0.186103,"{'G3': 20, 'G5': 15}",570.0,4240000,0
车型1_024,0.342748,0.175,0.295779,"{'G5': 45, 'G3': 16}",1050.0,6560000,0
车型1_025,0.262077,0.109667,0.219402,"{'G3': 18, 'G4': 4, 'G5': 16}",658.0,5016000,0
车型1_026,0.174091,0.0685,0.144526,"{'G5': 7, 'G3': 19}",411.0,3332000,0
车型1_027,0.073148,0.025,0.059666,{'G3': 10},150.0,1400000,0
