vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3,module_count
车型2_001,0.727244,0.4561,0.651324,"{'G1': 204, 'G3': 21, 'G2': 95, 'G4': 12, 'G5': 41}",4561.0,29926250,11
车型2_002,0.632609,0.4044,0.568711,"{'G3': 28, 'G2': 248, 'G5': 20, 'G1': 90, 'G4': 8}",4044.0,26032000,15
车型2_003,0.746388,0.4281,0.657267,"{'G4': 40, 'G1': 122, 'G3': 23, 'G2': 184}",4281.0,30714000,14
车型2_004,0.766059,0.4721,0.683751,"{'G4': 24, 'G2': 226, 'G3': 23, 'G1': 164}",4721.0,31523500,14
车型2_005,0.726291,0.441,0.646409,"{'G4': 24, 'G2': 132, 'G3': 22, 'G1': 202}",4410.0,29887000,12
车型2_006,0.742305,0.5634,0.692212,"{'G5': 276, 'G2': 72, 'G3': 6}",5634.0,30546000,3
车型2_007,0.763429,0.3682,0.652765,"{'G4': 104, 'G2': 43, 'G3': 6, 'G1': 18, 'G5': 24}",3682.0,31415250,4
车型2_008,0.615987,0.2709,0.519363,"{'G4': 96, 'G3': 11, 'G5': 8}",2709.0,25348000,0
车型2_009,0.21667,0.1233,0.190526,"{'G3': 39, 'G5': 36}",1233.0,8916000,0
车型2_010,0.428187,0.2005,0.364435,"{'G3': 23, 'G5': 20, 'G4': 52}",2005.0,17620000,0
车型2_011,0.347216,0.1724,0.298267,"{'G3': 28, 'G5': 28, 'G4': 32}",1724.0,14288000,0
车型2_012,0.251566,0.1466,0.222176,"{'G3': 28, 'G5': 47, 'G4': 8}",1466.0,10352000,0
车型2_013,0.132685,0.0585,0.111913,{'G3': 39},585.0,5460000,0
车型2_014,0.010207,0.0045,0.008609,{'G3': 3},45.0,420000,0
