template_name,support_type,support_orientation_id,g3_orientation_id,pattern_nx,pattern_ny,layers,support_count,g3_count,length,width,height,weight,support_length,support_width,support_height,g3_length,g3_width,g3_height,volume_bbox,score,source_kind
MPX_G2_2x2_L1_S1_G32_K2_UP7,G2,1,2,2,2,7,28,2,100,70,215,254,50,35,25,50,70,40,1505000,1.021308,lifted
MPX_G2_2x2_L1_S3_G31_K2_UP7,G2,3,1,2,2,7,28,2,70,100,215,254,35,50,25,70,50,40,1505000,1.021308,lifted
MPX_G2_2x3_L1_S2_G32_K2_UP5,G2,2,2,2,3,5,30,2,100,75,215,270,50,25,35,50,70,40,1612500,0.996935,lifted
MPX_G2_3x2_L1_S2_G31_K2_UP5,G2,2,1,3,2,5,30,2,150,50,215,270,50,25,35,70,50,40,1612500,0.996935,lifted
MPX_G2_2x3_L1_S5_G32_K2_UP5,G2,5,2,2,3,5,30,2,50,150,215,270,25,50,35,50,70,40,1612500,0.996935,lifted
MPX_G2_3x2_L1_S5_G31_K2_UP5,G2,5,1,3,2,5,30,2,75,100,215,270,25,50,35,70,50,40,1612500,0.996935,lifted
MPX_G2_2x2_L1_S1_G32_K2_UP6,G2,1,2,2,2,6,24,2,100,70,190,222,50,35,25,50,70,40,1330000,0.987493,lifted
MPX_G2_2x2_L1_S3_G31_K2_UP6,G2,3,1,2,2,6,24,2,70,100,190,222,35,50,25,70,50,40,1330000,0.987493,lifted
MPX_G2_2x2_L1_S1_G32_K2_UP5,G2,1,2,2,2,5,20,2,100,70,165,190,50,35,25,50,70,40,1155000,0.953677,lifted
MPX_G2_2x2_L1_S3_G31_K2_UP5,G2,3,1,2,2,5,20,2,70,100,165,190,35,50,25,70,50,40,1155000,0.953677,lifted
MPX_G2_2x3_L1_S2_G32_K2_UP4,G2,2,2,2,3,4,24,2,100,75,180,222,50,25,35,50,70,40,1350000,0.949668,lifted
MPX_G2_3x2_L1_S2_G31_K2_UP4,G2,2,1,3,2,4,24,2,150,50,180,222,50,25,35,70,50,40,1350000,0.949668,lifted
MPX_G2_2x3_L1_S5_G32_K2_UP4,G2,5,2,2,3,4,24,2,50,150,180,222,25,50,35,50,70,40,1350000,0.949668,lifted
MPX_G2_3x2_L1_S5_G31_K2_UP4,G2,5,1,3,2,4,24,2,75,100,180,222,25,50,35,70,50,40,1350000,0.949668,lifted
MPX_G2_1x2_L1_S1_G32_K1_UP7,G2,1,2,1,2,7,14,1,50,70,215,127,50,35,25,50,70,40,752500,0.924272,lifted
MPX_G2_2x1_L1_S3_G31_K1_UP7,G2,3,1,2,1,7,14,1,70,50,215,127,35,50,25,70,50,40,752500,0.924272,lifted
MPX_G2_1x3_L1_S2_G32_K1_UP5,G2,2,2,1,3,5,15,1,50,75,215,135,50,25,35,50,70,40,806250,0.900085,lifted
MPX_G2_3x1_L1_S5_G31_K1_UP5,G2,5,1,3,1,5,15,1,75,50,215,135,25,50,35,70,50,40,806250,0.900085,lifted
MPX_G2_2x3_L1_S1_G31_K2_UP7,G2,1,1,2,3,7,42,2,100,105,215,366,50,35,25,70,50,40,2257500,0.898695,lifted
MPX_G2_2x3_L1_S1_G32_K2_UP7,G2,1,2,2,3,7,42,2,100,105,215,366,50,35,25,50,70,40,2257500,0.898695,lifted
MPX_G2_3x2_L1_S1_G31_K2_UP7,G2,1,1,3,2,7,42,2,150,70,215,366,50,35,25,70,50,40,2257500,0.898695,lifted
MPX_G2_3x2_L1_S1_G32_K2_UP7,G2,1,2,3,2,7,42,2,150,70,215,366,50,35,25,50,70,40,2257500,0.898695,lifted
MPX_G2_2x3_L1_S3_G31_K2_UP7,G2,3,1,2,3,7,42,2,70,150,215,366,35,50,25,70,50,40,2257500,0.898695,lifted
MPX_G2_2x3_L1_S3_G32_K2_UP7,G2,3,2,2,3,7,42,2,70,150,215,366,35,50,25,50,70,40,2257500,0.898695,lifted
MPX_G2_3x2_L1_S3_G31_K2_UP7,G2,3,1,3,2,7,42,2,105,100,215,366,35,50,25,70,50,40,2257500,0.898695,lifted
MPX_G2_3x2_L1_S3_G32_K2_UP7,G2,3,2,3,2,7,42,2,105,100,215,366,35,50,25,50,70,40,2257500,0.898695,lifted
MPX_G2_2x2_L1_S4_G31_K1_UP3,G2,4,1,2,2,3,12,1,70,50,190,111,35,25,50,70,50,40,665000,0.890083,lifted
MPX_G2_2x2_L1_S6_G32_K1_UP3,G2,6,2,2,2,3,12,1,50,70,190,111,25,35,50,50,70,40,665000,0.890083,lifted
MPX_G2_1x2_L1_S1_G32_K1_UP6,G2,1,2,1,2,6,12,1,50,70,190,111,50,35,25,50,70,40,665000,0.890083,lifted
MPX_G2_2x1_L1_S3_G31_K1_UP6,G2,3,1,2,1,6,12,1,70,50,190,111,35,50,25,70,50,40,665000,0.890083,lifted
MPX_G1_2x2_L1_S1_G32_K2_UP5,G1,1,2,2,2,5,20,2,120,80,190,270,60,40,30,50,70,40,1824000,0.888873,lifted
MPX_G1_2x2_L1_S3_G31_K2_UP5,G1,3,1,2,2,5,20,2,80,120,190,270,40,60,30,70,50,40,1824000,0.888873,lifted
