record_type,item_id,type_id,category,x,y,z,length,width,height,weight,orientation_id,rotation,truck_id,support_by,direct_supported_weight,template_name
item,G5_车型1_016_0001,G5,oriented,0,0,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0002,G5,oriented,0,40,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0003,G5,oriented,0,80,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0004,G5,oriented,0,120,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0005,G5,oriented,0,160,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0006,G5,oriented,40,0,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0007,G5,oriented,40,40,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0008,G5,oriented,40,80,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0009,G5,oriented,40,120,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0010,G5,oriented,40,160,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0011,G5,oriented,80,0,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0012,G5,oriented,80,40,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0013,G5,oriented,80,80,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0014,G5,oriented,80,120,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0015,G5,oriented,80,160,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0016,G5,oriented,120,0,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0017,G5,oriented,120,40,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0018,G5,oriented,120,80,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0019,G5,oriented,120,120,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0020,G5,oriented,120,160,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0021,G5,oriented,160,0,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0022,G5,oriented,160,40,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0023,G5,oriented,160,80,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0024,G5,oriented,160,120,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G5_车型1_016_0025,G5,oriented,160,160,0,40,40,60,18,1,LWH,车型1_016,,18.0,
item,G3_车型1_016_0001,G3,fragile,200,0,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0002,G3,fragile,200,50,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0003,G3,fragile,200,100,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0004,G3,fragile,200,150,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0005,G3,fragile,270,0,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0006,G3,fragile,340,0,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0007,G3,fragile,270,50,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0008,G3,fragile,270,100,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0009,G3,fragile,270,150,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0010,G3,fragile,340,50,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0011,G3,fragile,340,100,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G3_车型1_016_0012,G3,fragile,340,150,0,70,50,40,15,1,LWH,车型1_016,,0.0,
item,G5_车型1_016_0026,G5,oriented,0,0,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0001,18.0,
item,G5_车型1_016_0027,G5,oriented,0,0,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0026,0.0,
item,G5_车型1_016_0028,G5,oriented,40,0,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0006,18.0,
item,G5_车型1_016_0029,G5,oriented,40,0,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0028,0.0,
item,G5_车型1_016_0030,G5,oriented,80,0,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0011,18.0,
item,G5_车型1_016_0031,G5,oriented,80,0,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0030,0.0,
item,G5_车型1_016_0032,G5,oriented,120,0,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0016,18.0,
item,G5_车型1_016_0033,G5,oriented,120,0,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0032,0.0,
item,G5_车型1_016_0034,G5,oriented,160,0,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0021,18.0,
item,G5_车型1_016_0035,G5,oriented,160,0,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0034,0.0,
item,G5_车型1_016_0036,G5,oriented,0,40,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0002,18.0,
item,G5_车型1_016_0037,G5,oriented,0,40,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0036,0.0,
item,G5_车型1_016_0038,G5,oriented,40,40,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0007,18.0,
item,G5_车型1_016_0039,G5,oriented,40,40,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0038,0.0,
item,G5_车型1_016_0040,G5,oriented,80,40,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0012,18.0,
item,G5_车型1_016_0041,G5,oriented,80,40,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0040,0.0,
item,G5_车型1_016_0042,G5,oriented,120,40,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0017,18.0,
item,G5_车型1_016_0043,G5,oriented,120,40,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0042,0.0,
item,G5_车型1_016_0044,G5,oriented,160,40,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0022,18.0,
item,G5_车型1_016_0045,G5,oriented,160,40,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0044,0.0,
item,G5_车型1_016_0046,G5,oriented,0,80,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0003,18.0,
item,G5_车型1_016_0047,G5,oriented,0,80,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0046,0.0,
item,G5_车型1_016_0048,G5,oriented,40,80,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0008,18.0,
item,G5_车型1_016_0049,G5,oriented,40,80,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0048,0.0,
item,G5_车型1_016_0050,G5,oriented,80,80,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0013,18.0,
item,G5_车型1_016_0051,G5,oriented,80,80,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0050,0.0,
item,G5_车型1_016_0052,G5,oriented,120,80,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0018,18.0,
item,G5_车型1_016_0053,G5,oriented,120,80,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0052,0.0,
item,G5_车型1_016_0054,G5,oriented,160,80,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0023,18.0,
item,G5_车型1_016_0055,G5,oriented,160,80,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0054,0.0,
item,G5_车型1_016_0056,G5,oriented,0,120,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0004,18.0,
item,G5_车型1_016_0057,G5,oriented,0,120,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0056,0.0,
item,G5_车型1_016_0058,G5,oriented,40,120,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0009,18.0,
item,G5_车型1_016_0059,G5,oriented,40,120,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0058,0.0,
item,G5_车型1_016_0060,G5,oriented,80,120,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0014,18.0,
item,G5_车型1_016_0061,G5,oriented,80,120,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0060,0.0,
item,G5_车型1_016_0062,G5,oriented,120,120,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0019,18.0,
item,G5_车型1_016_0063,G5,oriented,120,120,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0062,0.0,
item,G5_车型1_016_0064,G5,oriented,160,120,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0024,18.0,
item,G5_车型1_016_0065,G5,oriented,160,120,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0064,0.0,
item,G5_车型1_016_0066,G5,oriented,0,160,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0005,18.0,
item,G5_车型1_016_0067,G5,oriented,0,160,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0066,0.0,
item,G5_车型1_016_0068,G5,oriented,40,160,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0010,18.0,
item,G5_车型1_016_0069,G5,oriented,40,160,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0068,0.0,
item,G5_车型1_016_0070,G5,oriented,80,160,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0015,18.0,
item,G5_车型1_016_0071,G5,oriented,80,160,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0070,0.0,
item,G5_车型1_016_0072,G5,oriented,120,160,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0020,18.0,
item,G5_车型1_016_0073,G5,oriented,120,160,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0072,0.0,
item,G5_车型1_016_0074,G5,oriented,160,160,60,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0025,18.0,
item,G5_车型1_016_0075,G5,oriented,160,160,120,40,40,60,18,1,LWH,车型1_016,G5_车型1_016_0074,0.0,
