vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型1_001,0.496162,0.271,0.433117,"{'G1': 71, 'G3': 4, 'G5': 33, 'G2': 15}",1626.0,9496250
车型1_002,0.749266,0.345333,0.636165,"{'G5': 46, 'G4': 28, 'G1': 36, 'G2': 14}",2072.0,14340500
车型1_003,0.540626,0.266167,0.463777,"{'G2': 51, 'G1': 51, 'G3': 5, 'G5': 14, 'G4': 10}",1597.0,10347250
车型1_004,0.384599,0.1985,0.332492,"{'G3': 13, 'G5': 32, 'G1': 27, 'G2': 12}",1191.0,7361000
车型1_005,0.491695,0.198167,0.409507,"{'G4': 23, 'G3': 8, 'G1': 12, 'G2': 37, 'G5': 3}",1189.0,9410750
车型1_006,0.450354,0.229333,0.388468,"{'G2': 50, 'G1': 55, 'G3': 6, 'G5': 7, 'G4': 4}",1376.0,8619500
车型1_007,0.311818,0.152833,0.267302,"{'G3': 15, 'G5': 18, 'G1': 20, 'G2': 16}",917.0,5968000
车型1_008,0.55485,0.233833,0.464965,"{'G4': 23, 'G3': 8, 'G5': 16, 'G1': 23, 'G2': 18}",1403.0,10619500
车型1_009,0.506494,0.240833,0.432109,"{'G2': 72, 'G3': 8, 'G1': 32, 'G4': 11, 'G5': 5}",1445.0,9694000
车型1_010,0.658955,0.3115,0.561667,"{'G5': 37, 'G1': 45, 'G2': 16, 'G4': 19, 'G3': 4}",1869.0,12612000
车型1_011,0.76221,0.2855,0.628731,"{'G3': 3, 'G4': 48, 'G1': 17, 'G5': 8, 'G2': 15}",1713.0,14588250
车型1_012,0.447989,0.238833,0.389426,"{'G2': 103, 'G3': 9, 'G1': 35, 'G5': 3}",1433.0,8574250
车型1_013,0.362864,0.1735,0.309842,"{'G3': 9, 'G1': 25, 'G5': 20, 'G4': 6, 'G2': 12}",1041.0,6945000
车型1_014,0.468301,0.186,0.389257,"{'G3': 12, 'G4': 20, 'G5': 4, 'G1': 17, 'G2': 20}",1116.0,8963000
车型1_015,0.528648,0.243833,0.4489,"{'G4': 15, 'G3': 8, 'G5': 20, 'G1': 24, 'G2': 40}",1463.0,10118000
车型1_016,0.404885,0.211833,0.35083,"{'G2': 43, 'G3': 9, 'G5': 12, 'G1': 48}",1271.0,7749250
车型1_017,0.397061,0.2065,0.343704,"{'G3': 13, 'G5': 34, 'G1': 24, 'G2': 18}",1239.0,7599500
车型1_018,0.565914,0.213833,0.467331,"{'G3': 7, 'G1': 19, 'G5': 7, 'G4': 32, 'G2': 3}",1283.0,10831250
车型1_019,0.371237,0.178,0.317131,"{'G3': 14, 'G5': 15, 'G1': 12, 'G4': 4, 'G2': 43}",1068.0,7105250
车型1_020,0.427221,0.2255,0.370739,"{'G2': 93, 'G3': 11, 'G1': 25, 'G5': 8}",1353.0,8176750
车型1_021,0.398732,0.198167,0.342574,"{'G3': 11, 'G5': 28, 'G1': 23, 'G4': 4, 'G2': 18}",1189.0,7631500
车型1_022,0.444659,0.206667,0.378021,"{'G4': 11, 'G3': 9, 'G5': 23, 'G1': 20, 'G2': 22}",1240.0,8510500
车型1_023,0.489266,0.236,0.418351,"{'G3': 8, 'G5': 25, 'G1': 29, 'G2': 31, 'G4': 10}",1416.0,9364250
车型1_024,0.664245,0.275667,0.555443,"{'G3': 4, 'G1': 24, 'G4': 32, 'G5': 9, 'G2': 43}",1654.0,12713250
车型1_025,0.372569,0.1925,0.32215,"{'G5': 30, 'G1': 21, 'G3': 13, 'G2': 21}",1155.0,7130750
车型1_026,0.358619,0.158167,0.302492,"{'G3': 12, 'G5': 14, 'G1': 13, 'G4': 9, 'G2': 17}",949.0,6863750
车型1_027,0.479783,0.1985,0.401023,"{'G3': 9, 'G4': 20, 'G1': 19, 'G5': 16, 'G2': 5}",1191.0,9182750
车型1_028,0.519073,0.210833,0.432766,"{'G4': 23, 'G3': 8, 'G1': 29, 'G2': 21, 'G5': 3}",1265.0,9934750
车型1_029,0.491747,0.220167,0.415705,"{'G2': 81, 'G1': 4, 'G3': 9, 'G5': 5, 'G4': 16}",1321.0,9411750
车型1_030,0.584527,0.23,0.48526,"{'G3': 6, 'G4': 32, 'G5': 5, 'G2': 50}",1380.0,11187500
车型1_031,0.168239,0.0575,0.137232,{'G3': 23},345.0,3220000
车型1_032,0.160925,0.055,0.131266,{'G3': 22},330.0,3080000
