vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型2_001,0.183717,0.081,0.154956,{'G3': 54},810.0,7560000
车型2_002,0.183717,0.081,0.154956,{'G3': 54},810.0,7560000
车型2_003,0.183717,0.081,0.154956,{'G3': 54},810.0,7560000
车型2_004,0.183717,0.081,0.154956,{'G3': 54},810.0,7560000
车型2_005,0.183717,0.081,0.154956,{'G3': 54},810.0,7560000
车型2_006,0.544615,0.2562,0.463859,"{'G3': 30, 'G4': 64, 'G1': 8, 'G2': 52}",2562.0,22411000
车型2_007,0.771029,0.3448,0.651685,"{'G4': 124, 'G1': 14, 'G5': 10}",3448.0,31728000
车型2_008,0.713289,0.3798,0.619912,"{'G5': 83, 'G4': 84, 'G1': 17}",3798.0,29352000
车型2_009,0.67013,0.3658,0.584918,"{'G5': 11, 'G1': 155, 'G4': 64}",3658.0,27576000
车型2_010,0.610228,0.3356,0.533332,"{'G2': 100, 'G4': 60, 'G1': 88}",3356.0,25111000
车型2_011,0.576382,0.4152,0.531251,"{'G2': 151, 'G4': 4, 'G1': 123, 'G5': 76}",4152.0,23718250
车型2_012,0.502422,0.3692,0.46512,"{'G2': 133, 'G1': 105, 'G5': 76}",3692.0,20674750
车型2_013,0.501358,0.3684,0.46413,"{'G2': 132, 'G1': 105, 'G5': 76}",3684.0,20631000
车型2_014,0.373625,0.2668,0.343714,"{'G2': 149, 'G1': 123}",2668.0,15374750
车型2_015,0.481407,0.3584,0.446965,"{'G5': 76, 'G1': 62, 'G2': 184}",3584.0,19810000
车型2_016,0.319883,0.2448,0.29886,"{'G5': 92, 'G2': 99}",2448.0,13163250
