problem,vehicle_id,truck_name,strategy,item_count,used_weight,max_weight,weight_util,used_volume,effective_volume,space_util,fullness_score,cost
2.2,车型1_001,车型1,std_first,49,945.00,6000.00,0.157500,8580000,19139400,0.448290,0.366869,450.00
2.2,车型1_002,车型1,std_first,49,945.00,6000.00,0.157500,8580000,19139400,0.448290,0.366869,450.00
2.2,车型1_003,车型1,std_first,61,1170.00,6000.00,0.195000,9600000,19139400,0.501583,0.415740,450.00
2.2,车型1_004,车型1,std_first,48,870.00,6000.00,0.145000,6920000,19139400,0.361558,0.300922,450.00
2.2,车型1_005,车型1,std_first,62,1125.00,6000.00,0.187500,8220000,19139400,0.429481,0.361726,450.00
2.2,车型1_006,车型1,std_first,83,1578.00,6000.00,0.263000,11536000,19139400,0.602736,0.507610,450.00
2.2,车型2_007,车型2,mixed,65,923.00,10000.00,0.092300,7429250,41150200,0.180540,0.155833,700.00
2.2,车型2_008,车型2,mixed,62,971.00,10000.00,0.097100,6877250,41150200,0.167126,0.147518,700.00
2.2,车型2_009,车型2,mixed,67,1009.00,10000.00,0.100900,6465000,41150200,0.157107,0.141369,700.00
2.2,车型2_010,车型2,mixed,61,864.00,10000.00,0.086400,5672750,41150200,0.137855,0.123447,700.00
2.2,车型2_011,车型2,mixed,67,880.00,10000.00,0.088000,6118750,41150200,0.148693,0.131699,700.00
2.2,车型2_012,车型2,mixed,70,916.00,10000.00,0.091600,5962000,41150200,0.144884,0.129964,700.00
2.2,车型2_013,车型2,mixed,63,886.00,10000.00,0.088600,6087250,41150200,0.147928,0.131316,700.00
2.2,车型2_014,车型2,mixed,64,894.00,10000.00,0.089400,6131000,41150200,0.148991,0.132305,700.00
2.2,车型2_015,车型2,mixed,61,840.00,10000.00,0.084000,5843000,41150200,0.141992,0.125754,700.00
2.2,车型2_016,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_017,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_018,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_019,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_020,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_021,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_022,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_023,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_024,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_025,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_026,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_027,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_028,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_029,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_030,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_031,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_032,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_033,车型2,mixed,60,822.00,10000.00,0.082200,5747000,41150200,0.139659,0.123571,700.00
2.2,车型2_034,车型2,mixed,59,804.00,10000.00,0.080400,5315000,41150200,0.129161,0.115508,700.00
2.2,车型2_035,车型2,mixed,59,804.00,10000.00,0.080400,5315000,41150200,0.129161,0.115508,700.00
2.2,车型2_036,车型2,mixed,59,804.00,10000.00,0.080400,5315000,41150200,0.129161,0.115508,700.00
2.2,车型2_037,车型2,mixed,59,790.00,10000.00,0.079000,5234500,41150200,0.127205,0.113707,700.00
2.2,车型2_038,车型2,mixed,59,790.00,10000.00,0.079000,5234500,41150200,0.127205,0.113707,700.00
2.2,车型2_039,车型2,mixed,60,808.00,10000.00,0.080800,5330500,41150200,0.129538,0.115891,700.00
2.2,车型2_040,车型2,mixed,61,752.00,10000.00,0.075200,5069250,41150200,0.123189,0.109752,700.00
2.2,车型2_041,车型2,mixed,60,708.00,10000.00,0.070800,4844750,41150200,0.117733,0.104592,700.00
2.2,车型2_042,车型2,mixed,61,720.00,10000.00,0.072000,4916750,41150200,0.119483,0.106188,700.00
2.2,车型2_043,车型2,mixed,58,756.00,10000.00,0.075600,5514000,41150200,0.133997,0.117646,700.00
2.2,车型2_044,车型2,mixed,64,680.00,10000.00,0.068000,4291250,41150200,0.104283,0.094123,700.00
2.2,车型2_045,车型2,mixed,71,704.00,10000.00,0.070400,4066750,41150200,0.098827,0.090867,700.00
2.2,车型2_046,车型2,mixed,69,672.00,10000.00,0.067200,3866250,41150200,0.093955,0.086463,700.00
2.2,车型2_047,车型2,mixed,69,676.00,10000.00,0.067600,3894500,41150200,0.094641,0.087070,700.00
2.2,车型2_048,车型2,mixed,79,692.00,10000.00,0.069200,3880000,41150200,0.094289,0.087264,700.00
2.2,车型1_049,车型1,std_first,41,328.00,6000.00,0.054667,1793750,19139400,0.093720,0.082785,450.00
