vehicle_id,space_utilization,weight_utilization,fullness_score,actual_counts,loaded_weight_kg,loaded_volume_cm3
车型2_001,0.362477,0.1781,0.310851,"{'G3': 27, 'G4': 32, 'G1': 48}",1781.0,14916000
车型2_002,0.362477,0.1781,0.310851,"{'G3': 27, 'G4': 32, 'G1': 48}",1781.0,14916000
车型2_003,0.357495,0.1761,0.306705,"{'G3': 27, 'G4': 32, 'G1': 33, 'G2': 20}",1761.0,14711000
车型2_004,0.35413,0.1745,0.303833,"{'G3': 27, 'G4': 32, 'G1': 25, 'G2': 30}",1745.0,14572500
车型2_005,0.35413,0.1745,0.303833,"{'G3': 27, 'G4': 32, 'G1': 25, 'G2': 30}",1745.0,14572500
车型2_006,0.35063,0.1801,0.302882,"{'G3': 27, 'G5': 10, 'G4': 28, 'G2': 30, 'G1': 23}",1801.0,14428500
车型2_007,0.345964,0.1845,0.300754,"{'G3': 27, 'G5': 18, 'G4': 24, 'G1': 23, 'G2': 30}",1845.0,14236500
车型2_008,0.341882,0.1872,0.298571,"{'G3': 27, 'G5': 23, 'G4': 21, 'G2': 30, 'G1': 24}",1872.0,14068500
车型2_009,0.340132,0.1877,0.297451,"{'G3': 27, 'G5': 24, 'G4': 20, 'G1': 25, 'G2': 30}",1877.0,13996500
车型2_010,0.340132,0.1877,0.297451,"{'G3': 27, 'G5': 24, 'G4': 20, 'G1': 25, 'G2': 30}",1877.0,13996500
车型2_011,0.340509,0.1881,0.297834,"{'G3': 27, 'G5': 24, 'G4': 20, 'G1': 24, 'G2': 32}",1881.0,14012000
车型2_012,0.655975,0.3212,0.562238,"{'G3': 3, 'G5': 18, 'G4': 87, 'G1': 49, 'G2': 10}",3212.0,26993500
车型2_013,0.607373,0.4104,0.55222,"{'G4': 20, 'G1': 105, 'G2': 122, 'G5': 76}",4104.0,24993500
车型2_014,0.501358,0.3684,0.46413,"{'G2': 132, 'G1': 105, 'G5': 76}",3684.0,20631000
车型2_015,0.501358,0.3684,0.46413,"{'G2': 132, 'G1': 105, 'G5': 76}",3684.0,20631000
车型2_016,0.501358,0.3684,0.46413,"{'G2': 132, 'G1': 105, 'G5': 76}",3684.0,20631000
车型2_017,0.365575,0.2766,0.340662,"{'G2': 210, 'G1': 8, 'G5': 55}",2766.0,15043500
